iter	Passed	Remaining
0	215	215601
1	217	108324
2	218	72514
3	219	54590
4	220	43845
5	221	36676
6	222	31625
7	224	27825
8	225	24826
9	226	22424
10	227	20460
11	228	18823
12	229	17442
13	230	16266
14	232	15262
15	233	14365
16	236	13676
17	238	12987
18	239	12380
19	241	11820
20	242	11297
21	243	10820
22	244	10383
23	245	9983
24	246	9613
25	247	9279
26	248	8968
27	250	8680
28	250	8402
29	251	8142
30	252	7899
31	253	7670
32	254	7453
33	255	7249
34	256	7059
35	256	6877
36	257	6706
37	258	6546
38	259	6390
39	260	6248
40	261	6114
41	262	5986
42	264	5876
43	264	5754
44	265	5641
45	266	5532
46	267	5428
47	268	5328
48	269	5236
49	270	5148
50	271	5058
51	272	4974
52	274	4900
53	275	4822
54	277	4759
55	279	4712
56	281	4655
57	282	4592
58	283	4526
59	284	4463
60	285	4400
61	286	4342
62	287	4282
63	289	4227
64	289	4171
65	292	4143
66	293	4090
67	294	4038
68	295	3987
69	296	3938
70	297	3894
71	299	3853
72	299	3809
73	301	3770
74	302	3727
75	303	3687
76	304	3646
77	305	3609
78	307	3579
79	308	3542
80	308	3505
81	309	3469
82	310	3430
83	311	3397
84	312	3364
85	313	3331
86	314	3301
87	315	3271
88	316	3243
89	318	3218
90	319	3189
91	321	3173
92	322	3145
93	323	3118
94	324	3092
95	325	3068
96	327	3049
97	328	3025
98	329	3002
99	331	2980
100	332	2959
101	333	2938
102	336	2926
103	338	2915
104	339	2897
105	342	2892
106	344	2872
107	345	2856
108	347	2837
109	348	2818
110	349	2798
111	353	2801
112	354	2782
113	356	2767
114	358	2755
115	360	2744
116	361	2727
117	363	2713
118	364	2696
119	368	2699
120	369	2682
121	370	2664
122	372	2658
123	374	2645
124	375	2631
125	377	2617
126	378	2603
127	382	2607
128	387	2619
129	389	2605
130	391	2596
131	393	2590
132	399	2607
133	403	2610
134	405	2599
135	407	2586
136	409	2577
137	411	2567
138	421	2611
139	441	2709
140	453	2760
141	464	2803
142	467	2801
143	469	2789
144	478	2821
145	480	2808
146	481	2793
147	482	2778
